Sample,Sample_ID,Flag,Device,Latitude,Longitude,Water_depth,Ocean,Sample_depth_top,Sample_depth_bottom,Sample_depth_average,Author,Journal,Year,Publication_doi,Resource_doi,Comment,Database,Type,Count_min,Count,Dentigloborotalia_anfracta,Globorotalia_cavernula,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii,Globorotalia_scitula,Globorotalia_truncatulinoides,Globorotalia_tumida,Globorotalia_ungulata,Globorotalia_theyeri,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Berggrenia_pumilio,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Globigerinella_adamsi,Turborotalita_quinqueloba,Turborotalita_humilis,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Candeina_nitida,Globigerinita_glutinata,Globigerinita_uvula,Globigerinita_minuta,Tenuitella_iota,Hastigerina_pelagica,Hastigerinella_digitata,Globorotalia_menardii_&_Globorotalia_tumida,Globigerinoides_ruber_&_Globigerinoides_white,Turborotalita_humilis_&_Berggrenia_pumilio,Globorotalia_truncatulinoides_dextral_coiling,Globorotalia_truncatulinoides_sinistral_coiling,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Turborotalita_quinqueloba_dextral_coiling,Turborotalita_quinqueloba_sinistral_coiling,unidentified,T_surface,T_400,T_gradient,S_surface,S_400,Si_surface,Si_400,O_surface,O_400,CO2_surface,CO2_400
A167-1TW,CLIMAP_0013,0,Trigger,37.65,-72.95,2706.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,458.0,0.0,,0.0,0.006550218,0.065502183,0.0,0.006550218,0.006550218,,,0.30349345,0.063318777,0.3930131,0.013100437,0.017467249,0.0,0.0,0.0,0.030567686,0.004366812,0.028384279,0.0,0.010917031,0.013100437,0.0,0.006550218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019650655,0.0,,0.0,0.0,0.0,,,,0.002183406,0.004366812,0.006550218,0.006550218,,,0.010917031,19.241703033447266,7.373319625854492,11.868383407592773,34.944610595703125,35.130428314208984,1.8078508377075195,14.709100723266602,236.5312957763672,183.97654724121094,2022.1171875,2183.625
A179-13,CLIMAP_0014,0,Piston,23.9333,-75.75,1847.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,367.0,0.0,,0.0,0.0,0.0,0.002724796,0.0626703,0.0,,,0.0,0.005449591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002724796,0.010899183,0.021798365,0.520435967,0.032697548,0.089918256,0.013623978,0.0,0.059945504,0.013623978,0.0,0.0,0.0,0.029972752,0.0,0.005449591,0.092643052,0.0,,0.0,0.0,0.0,,,,0.046321526,0.016348774,0.008174387,0.024523161,,,0.035422343,27.341365814208984,,,36.356319427490234,,1.2782782316207886,,202.16238403320312,,2012.7398681640625,
A179-15,CLIMAP_0015,1,Trigger,24.8,-75.9333,3109.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,343.0,0.0,,0.0,0.002915452,0.002915452,0.0,0.020408163,0.0,,,0.0,0.008746356,0.0,0.0,0.0,0.0,0.0,0.0,0.002915452,0.0,0.008746356,0.034985423,0.457725948,0.055393586,0.113702624,0.011661808,0.0,0.064139942,0.011661808,0.0,0.0,0.0,0.06122449,0.0,0.0,0.119533528,0.0,,0.0,0.002915452,0.0,,,,0.008746356,0.011661808,0.008746356,0.04664723,,,0.020408163,27.739213943481445,16.854198455810547,10.885015487670898,36.3808708190918,36.3367805480957,1.2198173999786377,2.58005952835083,202.6752166748047,187.12307739257812,2018.9970703125,2119.042724609375
A179-20,CLIMAP_0016,0,Trigger,30.7833,-67.6667,4993.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405.0,0.0,,0.0,0.037037037,0.0,0.0,0.101234568,0.0,,,0.079012346,0.017283951,0.002469136,0.0,0.002469136,0.0,0.0,0.0,0.135802469,0.004938272,0.009876543,0.002469136,0.49382716,0.022222222,0.002469136,0.012345679,0.002469136,0.027160494,0.0,0.0,0.0,0.004938272,0.0,0.0,0.0,0.022222222,0.0,,0.0,0.0,0.0,,,,0.022222222,0.079012346,0.002469136,0.019753086,,,0.019753086,24.45598030090332,17.775894165039062,6.680086135864258,36.670135498046875,36.491214752197266,0.7707693576812744,1.5575488805770874,214.4398956298828,201.80189514160156,2035.5430908203125,2100.38671875
A179-24,CLIMAP_0017,1,Trigger,35.7667,-69.0833,4663.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,3,1,,554.0,0.0,,0.0,0.036101083,0.023465704,0.0,0.061371841,0.010830325,,,0.153429603,0.075812274,0.025270758,0.001805054,0.059566787,0.0,0.0,0.0,0.057761733,0.010830325,0.009025271,0.007220217,0.160649819,0.104693141,0.0,0.02166065,0.003610108,0.054151625,0.030685921,0.0,0.0,0.005415162,0.0,0.0,0.0,0.083032491,0.0,,0.0,0.0,0.0,,,,0.009025271,0.05234657,0.032490975,0.072202166,,,0.003610108,20.92136573791504,18.862030029296875,2.059335708618164,36.543827056884766,36.64842987060547,0.8162145018577576,0.6097506880760193,219.59832763671875,207.0858154296875,2049.598388671875,2099.615234375
A180-13,CLIMAP_0019,0,Piston,39.1332,-42.65,4880.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,504.0,0.0,,0.0,0.083333333,0.01984127,0.0,0.075396825,0.001984127,,,0.275793651,0.043650794,0.182539683,0.003968254,0.023809524,0.0,0.0,0.0,0.069444444,0.003968254,0.007936508,0.0,0.103174603,0.029761905,0.001984127,0.003968254,0.0,0.003968254,0.005952381,0.0,0.0,0.0,0.0,0.0,0.0,0.037698413,0.0,,0.0,0.0,0.0,,,,0.021825397,0.053571429,0.011904762,0.017857143,,,0.021825397,20.57879066467285,15.131512641906738,5.447278022766113,36.28334045410156,36.02396774291992,1.031400442123413,3.5840890407562256,223.31314086914062,198.40130615234375,2060.250244140625,2111.43017578125
A180-20,CLIMAP_0020,1,Piston,33.333,-27.367,4040.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,472.0,0.0,,0.0,0.029661017,0.004237288,0.044491525,0.065677966,0.0,,,0.091101695,0.0,0.031779661,0.0,0.0,0.0,0.0,0.0,0.110169492,0.161016949,0.002118644,0.004237288,0.233050847,0.029661017,0.025423729,0.006355932,0.002118644,0.023305085,0.004237288,0.0,0.002118644,0.006355932,0.0,0.0,0.0,0.091101695,0.0,,0.0,0.0,0.0,,,,0.027542373,0.038135593,0.01059322,0.019067797,,,0.031779661,20.632736206054688,13.441946029663086,7.190790176391602,36.56059265136719,35.806251525878906,0.6808779239654541,4.016062259674072,228.97763061523438,204.000244140625,2078.38525390625,2134.085205078125
A180-69,CLIMAP_0021,0,Trigger,5.2833,-17.0667,5100.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,304.0,0.0,,0.019736842,0.003289474,0.023026316,0.003289474,0.006578947,0.628289474,,,0.006578947,0.088815789,0.009868421,0.003289474,0.082236842,0.0,0.0,0.0,0.006578947,0.0,0.0,0.0,0.023026316,0.016447368,0.006578947,0.006578947,0.006578947,0.009868421,0.006578947,0.0,0.0,0.0,0.003289474,0.023026316,0.0,0.009868421,0.0,,0.0,0.0,0.0,,,,0.003289474,0.003289474,0.013157895,0.003289474,,,0.006578947,28.3992977142334,9.080451965332031,19.318845748901367,35.335838317871094,34.88713836669922,1.5566644668579102,17.35903549194336,205.02212524414062,70.8407211303711,1944.249755859375,2233.715576171875
A180-70,CLIMAP_0022,0,Trigger,3.65,-18.3,4846.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,G. truncatulinoides subspecies set to N/A,1,1,,461.0,0.0,,0.026030369,0.0,0.186550976,0.0,0.0,0.37527115,,,0.0,0.140997831,0.0,0.002169197,0.112798265,0.0,0.0,0.0,0.0,0.0,0.004338395,0.0,0.021691974,0.073752711,0.002169197,0.002169197,0.00867679,0.010845987,0.0,0.0,0.002169197,0.0,0.0,0.026030369,0.0,0.004338395,0.0,,0.0,0.0,0.0,,,,,,0.032537961,0.041214751,,,0.0,28.595298767089844,8.946694374084473,19.64860439300537,35.08125305175781,34.838531494140625,1.5292787551879883,17.03575325012207,201.81317138671875,92.75598907470703,1935.7698974609375,2217.86669921875
A180-74,CLIMAP_0023,0,Piston,-0.05,-24.1667,3329.0,11.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,511.0,0.0,,0.011741683,0.0,0.0,0.001956947,0.109589041,0.0,,,0.082191781,0.244618395,0.189823875,0.003913894,0.0,0.0,0.0,0.0,0.045009785,0.0,0.001956947,0.1037182,0.0,0.076320939,0.001956947,0.0,0.0,0.009784736,0.0,0.0,0.0,0.0,0.017612524,0.0,0.0,0.099804305,0.0,,0.0,0.0,0.0,,,,0.109589041,0.0,0.0,0.076320939,,,0.0,26.185949325561523,8.348662376403809,17.837286949157715,36.01586151123047,34.74001693725586,0.9510431885719299,16.556781768798828,203.91342163085938,115.07273864746094,2036.5716552734375,2209.56005859375
A180-76,CLIMAP_0024,0,Piston,-0.7667,-26.0333,3512.0,11.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,405.0,0.0,,0.024691358,0.0,0.002469136,0.0,0.081481481,0.004938272,,,0.054320988,0.140740741,0.214814815,0.0,0.014814815,0.0,0.0,0.0,0.039506173,0.002469136,0.0,0.009876543,0.209876543,0.07654321,0.0,0.0,0.0,0.024691358,0.0,0.0,0.0,0.0,0.004938272,0.0,0.0,0.07654321,0.0,,0.0,0.0,0.0,,,,0.07654321,0.004938272,0.017283951,0.059259259,,,0.017283951,26.592613220214844,8.362320899963379,18.230292320251465,36.10651397705078,34.7453727722168,1.4286538362503052,16.801008224487305,201.57733154296875,111.4906997680664,2041.045654296875,2211.71728515625
A181-9,CLIMAP_0026,1,Piston,20.7332,-59.2,5215.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,402.0,0.0,,0.004975124,0.0,0.009950249,0.0,0.042288557,0.047263682,,,0.0,0.052238806,0.0,0.0,0.002487562,0.0,0.0,0.0,0.0,0.0,0.099502488,0.009950249,0.529850746,0.149253731,0.0,0.002487562,0.0,0.032338308,0.002487562,0.0,0.002487562,0.0,0.0,0.004975124,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.02238806,0.019900498,0.062189055,0.087064677,,,0.007462687,25.330001831054688,15.214439392089844,10.115562438964844,36.462406158447266,36.055213928222656,1.5245295763015747,4.1159844398498535,205.30393981933594,165.5506134033203,2027.459716796875,2141.521728515625
AR1-119,CLIMAP_0028,0,Piston,-14.03333333,62.5,3614.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,326.0,0.0,,0.0,0.0,0.036809816,0.0,0.006134969,0.003067485,,,0.0,0.027607362,0.012269939,0.0,0.018404908,0.0,0.015337423,0.0,0.021472393,0.0,0.021472393,0.0,0.340490798,0.13190184,0.018404908,0.006134969,0.003067485,0.079754601,0.027607362,0.0,0.0,0.0,0.0,0.0,0.0,0.217791411,0.0,,0.0,0.0,0.0,,,,0.006134969,0.0,0.036809816,0.095092025,,,0.012269939,27.813446044921875,11.0856294631958,16.727816581726074,34.64505386352539,34.96279525756836,3.5814340114593506,15.431686401367188,201.2013397216797,180.20375061035156,1951.2598876953125,2145.679443359375
AR1-144,CLIMAP_0030,1,Piston,-25.41666667,70.4,3166.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. ruber pink abundances moved to unidentified, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,369.0,0.0,,0.0,0.005420054,0.010840108,0.01897019,0.08401084,0.0,,,0.037940379,0.0,0.0,0.002710027,0.002710027,0.0,0.0,0.0,0.013550136,0.010840108,0.010840108,0.0,0.43902439,0.086720867,0.016260163,0.013550136,0.008130081,0.089430894,0.005420054,0.0,0.0,0.0,0.016260163,0.0,0.008130081,0.100271003,0.0,,0.0,0.0,0.0,,,,0.081300813,0.002710027,0.01897019,0.067750678,,,0.01897019,24.599321365356445,12.55207633972168,12.047245025634766,35.55788803100586,35.1622314453125,1.9590510129928589,3.2641525268554688,213.68505859375,231.73281860351562,1993.6949462890625,2098.919677734375
AR2-113,CLIMAP_0041,0,Piston,-10.35,58.51666667,3553.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies corrected, Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,271.0,0.0,,0.0,0.0,0.014760148,0.007380074,0.0,0.0,,,0.0,0.110701107,0.0,0.0,0.033210332,0.011070111,0.033210332,0.0,0.051660517,0.007380074,0.011070111,0.0,0.265682657,0.147601476,0.0,0.025830258,0.007380074,0.062730627,0.018450185,0.0,0.0,0.0,0.0,0.0,0.0,0.184501845,0.0,,0.0,0.0,0.0,,,,,,0.095940959,0.051660517,,,0.007380074,28.366844177246094,9.55066204071045,18.816182136535645,34.70695495605469,34.8064079284668,4.063802242279053,24.774032592773438,198.78939819335938,150.5899200439453,1949.72412109375,2180.761474609375
AR2-117,CLIMAP_0042,0,Piston,-13.68333333,59.68333333,3922.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,225.0,0.0,,0.0,0.004444444,0.017777778,0.004444444,0.004444444,0.004444444,,,0.0,0.08,0.0,0.0,0.066666667,0.0,0.013333333,0.0,0.035555556,0.004444444,0.008888889,0.0,0.288888889,0.142222222,0.0,0.013333333,0.022222222,0.071111111,0.022222222,0.0,0.0,0.0,0.0,0.004444444,0.004444444,0.186666667,0.0,,0.0,0.0,0.0,,,,0.0,0.004444444,0.048888889,0.093333333,,,0.0,27.528505325317383,10.514249801635742,17.01425552368164,34.652008056640625,34.88969802856445,3.7376039028167725,18.250288009643555,200.91238403320312,172.84207153320312,1949.646484375,2154.720703125
AR2-128,CLIMAP_0043,0,Piston,-44.63333333,70.96666667,3565.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,260.0,0.0,,0.0,0.003846154,0.0,0.0,0.038461538,0.0,,,0.223076923,0.0,0.134615385,0.246153846,0.0,0.0,0.0,0.0,0.303846154,0.003846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003846154,0.0,0.0,0.003846154,0.0,0.0,0.0,0.0,0.034615385,0.0,,0.0,0.0,0.0,,,,0.0,0.038461538,,,,,0.003846154,11.351856231689453,8.013334274291992,3.338521957397461,34.2463264465332,34.590023040771484,1.5256129503250122,12.873886108398438,276.8870849609375,227.28839111328125,2060.5107421875,2137.570068359375
AR2-136,CLIMAP_0044,0,Piston,-31.51666667,114.3833333,3903.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"Water depth taken from ETOPO, Coordinates from a secondary source",33,1,,336.0,0.0,,0.0,0.005952381,0.0625,0.011904762,0.014880952,0.008928571,,,0.18452381,0.154761905,0.005952381,0.0,0.00297619,0.0,0.0,0.0,0.029761905,0.047619048,0.008928571,0.0,0.217261905,0.053571429,0.005952381,0.0,0.005952381,0.00297619,0.011904762,0.0,0.0,0.0,0.0,0.0,0.0,0.160714286,0.0,,0.0,0.0,0.0,,,,0.00297619,0.011904762,0.008928571,0.044642857,,,0.00297619,22.38862419128418,10.01415729522705,12.374466896057129,35.51652526855469,34.77791976928711,3.8155126571655273,5.498836994171143,214.9161834716797,241.7860870361328,2014.48974609375,2115.209716796875
AR3R35,CLIMAP_0046,0,Piston,-39.73333333,67.88333333,4157.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"T. sacculifer subspecies set to N/A, Water depth taken from ETOPO, Coordinates from a secondary source",1,1,,211.0,0.0,,0.0,0.004739336,0.0,0.004739336,0.042654028,0.0,,,0.388625592,0.0,0.308056872,0.018957346,0.0,0.0,0.0,0.0,0.146919431,0.028436019,0.0,0.0,0.018957346,0.0,0.0,0.0,0.0,0.004739336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018957346,0.0,,0.0,0.0,0.0,,,,0.0,0.042654028,,,,,0.014218009,17.55518913269043,13.088163375854492,4.4670257568359375,35.46732711791992,35.20280456542969,1.1162620782852173,2.5480494499206543,241.28660583496094,232.30062866210938,2045.0433349609375,2096.8134765625
